,session,model_args,model_stats
0,1,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.2861180222702027, 'R2': 0.846803210456923, 'Accuracy': None}"
0,2,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.23167801533699, 'R2': 0.8696940652099313, 'Accuracy': None}"
0,3,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'True', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.453739167618357, 'R2': 0.8560945266554406, 'Accuracy': None}"
0,4,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'True', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '100', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.253473101946489, 'R2': 0.8628626792391694, 'Accuracy': None}"
0,5,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'True', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '100', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': '10', 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': 'PCC', 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.6277609398760577, 'R2': 0.7970188227969632, 'Accuracy': None}"
0,6,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'True', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '100', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': '10', 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': 'PCC_SQRT', 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.330770303333853, 'R2': 0.8415321886013705, 'Accuracy': None}"
0,7,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'True', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '100', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': '5', 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': 'PCC_SQRT', 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.4955117163704443, 'R2': 0.8343286271174486, 'Accuracy': None}"
0,8,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'True', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '100', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': '10', 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': 'MIC', 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.241838375049252, 'R2': 0.864873717571149, 'Accuracy': None}"
0,9,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'NET', 'num_of_features': '10', 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': 'MIC', 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.103878, 'R2': 0.8854290077483931, 'Accuracy': None}"
0,10,"{'train_type': 'r', 'input_file': 'data/BostonHousing.csv', 'project_file': 'output/BostonHousing_demo', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': '{}', 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': 2, 'ignore_col': None, 'random_state': 'None', 'target_col': 'medv', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': 2.2705180136585237, 'R2': 0.8348240929102864, 'Accuracy': None}"
