feature,score
TT,0.9723907124522149
NT,0.8398612236452239
Cr,0.6389974755404757
THT,0.6231520513817188
THQCr,0.5788594789220713
C,0.5098039214463683
Tt,0.43457172923415555
TCr,0.4285049611554461
Mo,0.4151364779294364
THt,0.3762554359664403
Dt,0.3320524792784394
Ct,0.32589736224658505
DT,0.3251525767291834
CT,0.3236786162061259
QmT,0.31102181628524694
Ni,0.3016336910215953
Mn,0.2811799090117586
RedRatio,0.265228867574951
dA,0.2506012907594122
Cu,0.181415649866417
dB,0.17262960070198252
Si,0.12245557170845522
S,0.11663152304285784
P,0.09321382082008567
dC,0.07004787477001129
